Push,Envoyer
"Restore the default template","Restaurer le modèle par défaut"
"Display XML","Voir le XML"
Attribute,Attribut
"Add a field","Ajouter un champ"
Sortable,Critère
Direction,Sens
Facet,Facette
Sort,Rang
"Multiple selections","Sélection multiple"
"Auto Complete","Auto Complétion"
Date,Date
Reference,Clé
Type,Type
Element,Flux
Products,Elements
Status,Status
Store,Magasin
Term,Mot-clé
"Did you mean {spellcheck} ?","Vouliez vous dire {spellcheck} ?"
"From {min}€ to {max}€","De {min}€ à {max}€"
"Antidot Back office (Analytics, Synonyms, Promote)","Back office Antidot (Analytics, Synonymes, Promote)"
"AFS@Store Extension Version","Version de l'extension AFS@Store"
"Communicate this version to the support team if you need help","Au besoin, communiquez cette version à l'équipe support"
"Organization name","Nom de la société"
"Useful for support team","Utile à l'équipe support"
E-mail,"Adresse mèl"
"Used to send alert when an error occured","Utilisée pour envoyer une alerte en cas d'erreur"
"Data upload parameters","Paramètres d'envoi des données"
Host,Serveur
"Host to connect to Antidot to push files","Serveur Antidot auquel se connecter pour envoyer les données"
"Upload Directory","Dossier de dépôt"
"Directory to upload files","Dossier de dépôt des fichiers"
Login,Identifiant
"Your Antidot FTP Login","Votre identifiant FTP Antidot"
Password,"Mot de passe"
"Your Antidot FTP Password","Votre mot de passe FTP Antidot"
"Web services","Services Web"
"Web service host to communicate with Antidot","Adresse du service web AFS@Store"
"Service ID","ID du service"
"Antidot service ID","ID du service chez Antidot"
Status,Statut
"Web service status. Go live only with 'stable' status on your production site","Statut du service Web. Ne mettre en production qu'avec le statut 'stable'"
"Products fields mapping","Mapping des champs produits"
"These settings are related to the product file generation, used for AFS@Store indexing. You can match to existing attributes in Magento and add your own properties. Standard Magento attributes such as urls, categories, prices, quantities, promotions are automatically inherited by this mapping. Use this form to map specific fields from your data model","Cette section permet de paramétrer l'export du catalogue indexé par AFS@Store. Les attributs standards de Magento comme les urls, les catégories, les prix, les quantités et les promotions sont automatiquement découverts. Utilisez ce formulaire pour faire correspondre les champs spécifiques de votre modèle de donnée"
"Include out of stock products","Inclure les produits hors stock"
"Change this setting if you want to include out of stock products","Changez ce paramètre si vous souhaitez inclure les produits hors stock"
Name,Libellé
"Short name","Libellé court"
Brand,Marque
Description,Description
Keywords,Mots-clés
"Is new","Est une nouveauté"
"This attribute may be used as searchandizing criterium to manage Product search/autocomplete order","Cet attribut pourra être utilisé comme critère de searchandizing par la recherche et l'autocomplétion des produits"
"Is top sale","Est un top des vente"
"Is featured","Est un produit mis en avant"
Material,Matière
Color,Couleur
Model,Modèle
Size,Taille
Gender,Genre
"GTIN / EAN","Code EAN"
Identifier,"Autres codes produits"
"Configure additional identifiers here (your reference, manufacturer reference, supplier reference, OEM ...)","Configurez des codes additionnels ici (votre référence, celle du fabricant, du fournisseur...)"
"Additional facets","Facettes additionnelles"
